1. Project name,2. Geography,3. UN Goal,4. Type of giving,5. Total Budget,6. Amount funded,7. Amount still to be funded,8. Distribution type,9. Start date,10. End date,11. Our contribution to this project,12. Funding status,13. Partnerships sponsor(s),14. Partnerships project manager,15. Partnerships consultant,16. Results objectives (KPI),17. Latest review SWOT Strength,18. Latest review SWOT Weaknesses,19. Latest review SWOT Opportunity,20. Latest review SWOT Threat,21. Latest review comments,22. Satisfaction Ranking overall,23. Satisfaction Ranking overall Strat,24. Satisfaction Ranking overall partners,25. Satisfaction Ranking overall organisation & processes,26. Satisfaction Ranking overall communication,27. Satisfaction comments,28. Other comments,29. Author,30. Date of last update,31. Contact details,32. Description,Date Choice,Date Choice end
Donation: People on the Move study [x],,GOAL 10. Reduced Inequality,Traditional Philanthropy,"$165,000 USD [x]","$165,000 USD [x]",$0 USD [x],Per project,"September 1, 2021 [x]","December 31, 2023",100%,Closed,Global Development Incubator (100%) [x],John Doe,Sustainable Development Consulting Ltd.,Increase global awareness and policy impact on migration and displacement issues by 30%.,Robust partnership with experienced global organizations.,,Potential for scaling solutions through additional funding and partnerships.,Political instability in key regions affecting project implementation.,The project is progressing well with significant impacts being documented in preliminary reports.,8/10,8/10,9/10,7/10,8/10,"Partners are satisfied with the communication and management, though some improvements can be made in organizational processes.",Continued monitoring is required to ensure the sustainability of the project impacts.,Emily Robinson,"June 15, 2024",emily.robinson@globaldevelopment.org,The IKEA Foundation supported the Global Development Incubator's landmark study as part of their People on the Move initiative. The study underpins a collaboration bringing together different sectors to support forcibly displaced people.,2021-09-01,2024-04-01
Evaluation and management of Development Impact Bonds [x],Continent - Asia; Country - Jordan; City - Amman,GOAL 17. Partnerships to achieve the Goal,5. Venture Philanthropy,"$259,000 USD [x]","$139,000 USD [x]","$120,000 USD [x]",Per project,September 2021 [x],September 2023,15%,Open,KOIS - 100% [x],Sarah Al-Hamid,Global Impact Consulting,Increase in successful Development Impact Bonds by 30% over two years,Strong partnership with experienced firm,Dependency on single financial instrument,Expansion to other regions based on project success,Political instability in the region,Project is well managed but needs to diversify risk,8/10,7/10,9/10,7/10,8/10,Generally satisfied but suggests improvements in risk management strategies,Consider exploring additional funding avenues to ensure project sustainability,Emily Tran,"June 10, 2024",sarah.al-hamid@globalimpactconsulting.com,"The IKEA Foundation is supporting KOIS to manage and evaluate a Development Impact Bond (DIB) to improve livelihood opportunities for refugees and host community members in Jordan and Lebanon, while providing measurable outcomes for investors.",2021-09-01,2024-10-01
UK100 [x],"Continent: Europe, Country: United Kingdom, City: London",GOAL 11. Sustainable Cities and Communities,Corporate Social Responsibility (CSR),"€996,950 [x]","€817,980 [x]","€178,970 [x]",Scheduled,September 2021 [x],September 2024,35%,Open,UK100 [x],James McAllister,Green Initiatives Consulting,Increase in sustainable urban projects by 30% by end of 2024,Strong network of local elected leaders,Dependency on political stability,Expansion to more cities within the UK,Changes in local government policies,Progressing well with need for increased monitoring,8/10,7/10,9/10,7/10,8/10,Positive feedback on collaboration and leadership,Consider more diverse funding sources,Emily Roberts,"June 23, 2024",info@uk100.org,"UK100 is a cross-party network of local elected leaders in the UK, to mobilise climate action and help secure the policy changes needed to reach net zero by 2045 or earlier. The IKEA Foundation is supporting UK100 because we believe it will help the UK to achieve a rapid and just transition to a net-zero economy that is good for both people and planet.",2021-09-01,2023-05-01
Humanitarian and Resilience Investing [x],"Continent: Global, Country: Various, City: Various",GOAL 17. Partnerships to Achieve the Goal,5. Venture Philanthropy,"$1,180,000 USD [x]","$1,000,000 USD [x]","$180,000 USD [x]",Scheduled,September 2021 [x],September 2024,15%,Open,World Economic Forum [x],Sarah Thompson,Global Impact Solutions,Increase the resilience of vulnerable communities by 25% by 2024,Strong partnerships with global organizations,Dependency on continuous funding,Expansion into new geographic areas,Economic downturns affecting funding,Project is progressing well with strong support from partners,8/10,7/10,9/10,8/10,7/10,Overall positive feedback with some areas for improvement in communication,Need to focus on securing additional funding to meet project goals,Emily Johnson,2024-06-25,humanitarian_resilience@ikeafoundation.org,The IKEA Foundation is supporting the World Economic Forum to identify and grow opportunities that crowd in private-sector investment towards fragile communities affected by crises to build their long-term resilience.,2021-09-01,2024-02-01
A Visionary Agenda for Transforming the Food System [x],"Continent: Global, Country: Multiple, City: Various",GOAL 2. Zero Hunger,,$3.05 million USD [x],$1.03 million USD [x],$2.02 million USD [x],Scheduled,September 2021 [x],August 2024,20%,Open,Stockholm Resilience Centre [x],Dr. Helena Nordberg,Green Horizons Consulting,"Increase sustainable food production by 30%, reduce food waste by 25%",Strong international partnerships,Dependency on fluctuating funding sources,Expansion into new regions with high food insecurity,Potential regulatory changes affecting operations,Project is on track but needs to secure additional funding to meet all objectives,8/10,7/10,9/10,8/10,7/10,"Good collaboration and communication, though some delays in execution noted",Continued monitoring and adaptive strategies recommended for meeting project goals,Emily Thompson,"June 23, 2024",info@visionaryfoodagenda.org,"The Stockholm Resilience Centre is developing scientific insights that can help transform global food systems for the resilience of our planet, so people and planet become healthy again.",2021-09-01,2022-07-01
Climate Emergency Collaboration Group [x],,GOAL 13. Climate Action,Corporate Social Responsibility (CSR),"$6,000,000 USD [x]","$3,750,000 USD [x]","$2,250,000 USD [x]",Per project,September 2021 [x],September 2024,35%,Open,Climate Emergency Collaboration Group [x],Johnathan Meyers,Green Innovations Consulting,"Reduction of carbon emissions by 40%, increase in renewable energy sources by 25%.",Strong collaboration with global leaders in climate action,Dependency on regulatory changes in multiple countries,Expansion to new markets with innovative climate solutions,Political instability and changes in environmental policies,"Project is on track to meet initial targets, though monitoring of policy changes is recommended.",8/10,8/10,9/10,7/10,8/10,"Partners express high satisfaction with clarity of objectives and communication, though some improvements can be made in streamlining processes.",Continued engagement and adaptation to global policy changes are crucial for sustained success.,Emily Clarkson,2024-06-25,emily.clarkson@climateemergency.org,The Climate Emergency Collaboration Group (CECG) builds strong collaboration and campaigns within the global climate movement around the annual UN climate summits (COPs) to increase impact. The IKEA Foundation supports CECG because collaboration is vital for effective climate action.,2021-09-01,2025-01-01
UK100 [x],Continent - Europe; Country - United Kingdom; City - London,GOAL 11. Sustainable Cities and Communities,Corporate Social Responsibility (CSR),"$1,100,000 USD [x]","$900,000 USD [x]","$200,000 USD [x]",Scheduled,"September 1, 2021 [x]","August 31, 2023",35%,Open,UK100 [x],Johnathan Smith,Green City Solutions Ltd.,"Increase in public transport usage by 20%, reduction of urban CO2 emissions by 15%",Strong support from local government,Potential resistance from private vehicle users,Potential for expansion into other cities,Economic downturn affecting funding,"Progress is steady, though facing minor setbacks due to logistical issues.",4/5,4/5,5/5,3/5,4/5,"Overall, partners are satisfied with the collaboration, although there are areas for improvement in organization and processes.",More community engagement initiatives are suggested.,Emily Carter,"June 25, 2024",emily.carter@uk100.org,"UK100 is a cross-party network of local elected leaders in the UK, to mobilise climate action and help secure the policy changes needed to reach net zero by 2045 or earlier. The IKEA Foundation is supporting UK100 because we believe it will help the UK to achieve a rapid and just transition to a net-zero economy that is good for both people and planet.",2021-09-01,2022-07-01
[x] Humanitarian and Resilience Investing,Global Programs (100%),GOAL 17. Partnerships to achieve the Goal,7. Impact Investing,[x] €988.16K,[x] €1M,[x] €0 (as the funded amount exceeds the budget),Per project,[x] September 2021,September 2024,75%,Closed,[x] World Economic Forum (100%),John Doe,Global Impact Consultants,Increase the resilience of global communities by 30% by 2024,Strong partnership with World Economic Forum,Limited geographic specificity,Expansion to targeted regional programs,Potential regulatory changes in international funding,"Project is on track to meet its objectives, with significant contributions from partners.",8/10,7/10,9/10,8/10,7/10,"Partners and stakeholders are satisfied with the progress and communication, though some improvements can be made in strategic planning.",Consider expanding the project to include more regional focuses to increase impact.,Emily Johnson,"June 10, 2024",humanitarian-resilience@ikeafoundation.org,The IKEA Foundation is supporting the World Economic Forum to identify and grow opportunities that crowd in private-sector investment towards fragile communities affected by crises to build their long-term resilience.,2021-09-01,2025-12-01
Catalyzing green business in Ethiopia [x],Continent - Africa; Country - Ethiopia; City - not specified (generated: Addis Ababa),GOAL 13. Climate Action,Traditional Philanthropy,"$845,170 USD [x]","$901,690 USD [x]","$56,520 USD [x]",Per request,August 2021 [x],August 2024 (generated),60% (generated),Open,Reach for Change (100%) [x],Michael Abraha (generated),Green Innovate Ethiopia Consulting (generated),Increase the number of sustainable startups by 30% annually; Reduce carbon footprint of participating businesses by 20% (generated),Strong local partnerships and community engagement (generated),Limited access to continuous funding (generated),Expanding green technology and innovations in the local market (generated),Political instability that may affect project operations (generated),"""Project showing promising progress towards environmental impact but needs more consistent funding streams."" (generated)",8/10 (generated),7/10 (generated),9/10 (generated),8/10 (generated),7/10 (generated),"""Partners are highly satisfied with the initiative's direction, though some concerns about communication delays."" (generated)","""Need more focus on securing long-term funding to ensure sustainability of the project."" (generated)",Sarah Mengistu (generated),"June 20, 2024 (generated)",greenbusiness@reachforchange.et (generated),Reach for Change is working to inspire and support young people in Ethiopia to start and grow sustainable green businesses. This will cultivate a strong pipeline of new green enterprises that also create job opportunities.,2021-08-01,2026-04-01
Development Impact Bond [x],"Continent: Asia, Country: Jordan, City: Amman",GOAL 4. Quality Education,5. Venture Philanthropy,"$6,500,000 USD [x]","$1,360,000 USD [x]","$5,140,000 USD [x]",Scheduled,"August 1, 2021 [x]","July 31, 2024",15%,Open,Near East Foundation (100%) [x],John Abdullah,"Global Education Strategies, Inc.",Increase literacy rates by 25% among participants.,Strong local partnerships,Limited access to remote areas,Potential government support for expansion,Political instability in the region,"Project is progressing well, but needs more funding to reach full potential.",8.2/10,,8.5/10,,7.5/10,"Partners are satisfied with the collaboration, though some communication delays.",Additional funding sources are being explored to ensure project sustainability.,Emily Chang,"June 1, 2024",developmentimpact@nefoundation.org,"The IKEA Foundation is supporting the Near East Foundation through a development impact bond (DIB). This will improve livelihood opportunities for refugees and host community members in Jordan and Lebanon, while providing measurable outcomes for investors.",2021-08-01,2023-10-01
VeraSol [x],"Africa, Kenya, Nairobi; Asia, India, New Delhi",GOAL 7. Affordable and Clean Energy,Corporate Social Responsibility (CSR),"$1,100,000 USD [x]","$1,108,000 USD [x]",$0 USD [x],Scheduled,"August 1, 2021 [x]","July 31, 2024",30%,Open,CLASP contributes 70% [x],John Smith,Global Energy Solutions,Increase access to clean energy by 30% in targeted regions by 2024,Strong partnership with experienced organizations,High dependency on specific regional infrastructures,Expansion to other regions with similar energy needs,Regulatory changes in targeted countries,"Progress is on track, though some delays in logistics were noted",8/10,7/10,9/10,8/10,7/10,"Partners are satisfied, though improvement in communication is advised",Consider evaluating potential markets in Southeast Asia,Emily Johnson,"June 25, 2024",veraSol@energyprojects.org,"VeraSol is an independent quality assurance programme for off-grid solar products. By supporting CLASP to operate VeraSol, the IKEA Foundation will ensure good quality solar products are available to help micro and small entrepreneurs in rural areas improve their livelihoods.",2021-08-01,2022-09-01
Multi programme support [x],,GOAL 13. Climate Action,4. Community Investing,$15 million USD [x],$9.60 million USD [x],$5.40 million USD [x],Per project,July 2021 [x],July 2024,25%,Open,European Climate Foundation [x],Michael Johnson,Green Innovations Ltd.,Reduce carbon emissions by 30% in funded regions by end of 2024,Strong partnership with experienced environmental organizations,Dependence on continuous funding to achieve long-term goals,Expansion into new regions with high carbon emissions,Potential regulatory changes affecting project operations,Positive feedback on initial outcomes but advised to monitor dependency on funding,8/10,7/10,9/10,7/10,8/10,Generally satisfied but suggest improvements in strategic planning,Need to focus more on community involvement in project areas,Jane Doe,2024-06-01,info@climateactionproject.org,"The partnership between the European Climate Foundation and the IKEA Foundation will support policy makers to deliver the European Green Deal. This grant focuses on ensuring the deal's success in the areas of international climate ambition, climate finance and proposed changes to the European Union Emissions Trading System (ETS).",2021-07-01,2023-08-01
Rapid Coal Asset Disposal Initiative [x],,GOAL 13. Climate Action,4. Community Investing,$2.25 million USD [x],$1.88 million USD [x],"$370,000 USD [x]",Per project,July 2021 [x],December 2023,25%,Open,European Climate Foundation [x],Sarah Thompson,Global Environmental Strategies Inc.,Reduction of coal assets by 40% by end of 2023,Strong partnerships with global environmental agencies,Political resistance in certain regions,Potential for significant environmental impact and policy change,Fluctuating global economic conditions affecting funding,"Project is progressing well, though some delays due to regulatory hurdles",8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the communication and management, though some improvement needed in strategic planning",Additional funding strategies are being considered to ensure project completion,Emily Carter,January 2024,rapidcoal@ecfoundation.org,The European Climate Foundation (ECF) is building support for innovative finance mechanisms to bring about a rapid end to the use of coal in the power sector. The IKEA Foundation partners with ECF in support of its cross-cutting strategy to enable the success of the European Green Deal.,2021-07-01,2023-02-01
Urban Movement Innovation Fund [x],Global Programs (100%) [x],GOAL 13. Climate Action,Corporate Social Responsibility (CSR),€3.40M [x],€3.61M [x],€0 (as the amount funded exceeds the budget) [x],Scheduled,July 2021 [x],July 2024,40%,Open,Urban Movement Innovation Fund [x],Emily Thompson,Green Innovations Ltd.,"Reduce carbon emissions by 30% in participating cities, increase the use of sustainable transport options by 25%.",Strong partnerships with global cities and local organizations.,Dependence on continuous funding to sustain long-term projects.,Expanding the project to more cities and regions.,Potential changes in local government policies that may affect project implementation.,"Project is progressing well, with significant improvements noted in pilot cities.",8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the communication and management, though suggest more frequent strategic reviews.",Consider exploring additional funding avenues to ensure project sustainability.,John Doe,2024-06-25,urban.movement@example.com,"Transport, energy and food consumption in cities account for around 80% of global emissions. The IKEA Foundation is supporting Urban Movement Innovation Fund to mobilise the public and work with city officials to create climate mitigation solutions that also improve citizens’ quality of life.",2021-07-01,2024-06-01
Donation: Protracted Displacement in an Urban Setting [x],"Continent: Global, Country: not specified, City: not specified",GOAL 11. Sustainable Cities and Communities,Traditional Philanthropy,"$133,610 USD [x]","$133,610 USD [x]",$0 USD [x],Per project,"July 1, 2021 [x]","June 30, 2024",100%,Closed,International Institute for Environment and Development - 100% [x],John Smith,Global Urban Research Consultancy,Improve living conditions and provide sustainable solutions for urban displaced populations,Strong partnership with experienced research institute,Limited geographical focus due to global approach,Expand research to more specific locations and demographics,Political instability in areas of focus could affect research outcomes,The project is progressing well with significant contributions from the research team.,8/10,8/10,9/10,7/10,8/10,"Partners are highly satisfied with the communication and outcomes so far, though some adjustments in organization could be beneficial.",Consideration for expanding the project scope could provide more impactful results.,Emily Johnson,"June 25, 2024",emily.johnson@iied.org,The IKEA Foundation supported research by the International Institute for Environment and Development to build evidence around the challenges and opportunities of hosting forcibly displaced people in urban areas rather than camps.,2021-07-01,2025-08-01
Global ambition and the race for below 2 degrees [x],"Continent: Europe, Country: Global, City: Not specified",GOAL 13. Climate Action,Traditional Philanthropy,"$3,060,000 USD [x]","$3,230,000 USD [x]",$0 USD [x],Per project,July 2021 [x],July 2024,30%,Open,European Climate Foundation [x],John Doe,Green Innovations Ltd.,Reduce carbon emissions by 30% by 2024,Strong partnership with experienced environmental organizations,High dependency on regulatory changes,Potential for scaling solutions globally,Political instability affecting environmental policies,"The project is on track, though increased monitoring of political changes is suggested",8/10,7/10,9/10,8/10,7/10,"Partners express satisfaction with clear communication and organization, though some concern over strategic direction.",Consider exploring additional partnerships to diversify funding sources and expertise.,Emily Roberts,"June 15, 2024",globalambition@ikeafoundation.org,"The IKEA Foundation is supporting the European Climate Foundation to shape public debate about climate action across six continents, creating narratives about the prosperity of low carbon economies and empowering voices from all sections of society.",2021-07-01,2025-06-01
Government action post-COP26 [x],"Continent: Global, Country: Various, City: Multiple",GOAL 13. Climate Action,Corporate Social Responsibility (CSR),$4.20 million USD [x],$2.20 million USD [x],$2.00 million USD [x],Per project,July 2021 [x],July 2023,30%,Open,World Resources Institute [x],Sarah Johnson,Green Innovations Inc.,Increase government commitments to reduce carbon emissions by 20% by 2023.,Strong partnerships with influential global organizations.,Dependence on governmental cooperation which can be slow and bureaucratic.,Potential to influence policy changes on a global scale.,Political instability in certain regions affecting project continuity.,Progress is on track but requires more aggressive advocacy to meet the set targets.,8/10,7/10,9/10,8/10,7/10,"Partners and stakeholders are satisfied with the progress, though some express concerns over future political barriers.",Need for increased funding to ensure all strategic goals are met.,Emily Thompson,"June 25, 2024",emily.thompson@worldresourcesinstitute.org,World Resources Institute (WRI) influences countries to implement their Paris Climate Agreement goals to limit global warming to 1.5⁰C. The IKEA Foundation is supporting WRI to provide insights decision makers need to step up climate action efforts and protect the planet for children and families.,2021-07-01,2026-01-01
Multi programme support [x],,GOAL 13. Climate Action,Corporate Social Responsibility (CSR),$18 million USD [x],$11.5 million USD [x],$6.5 million USD [x],Per project,July 2021 [x],July 2024,35%,Open,European Climate Foundation [x],Anna van der Meer,Green Innovations Ltd.,Reduction of carbon emissions by 30% across funded programs,Strong partnership with experienced environmental organizations,,Expansion to influential networks to further climate action initiatives,Fluctuating economic conditions affecting funding,Positive progress towards emission reductions but needs more aggressive funding strategies.,8/10,7/10,9/10,8/10,7/10,Partners express satisfaction with communication and project management but seek improvement in strategic planning.,Need for enhanced strategies in response to economic variables affecting funding.,Emily Peterson,2024-05-15,info@ecfoundation.nl,"The partnership between the European Climate Foundation and the IKEA Foundation will support policy makers to deliver the European Green Deal. This grant focuses on ensuring the deal's success in the areas of international climate ambition, climate finance and proposed changes to the European Union Emissions Trading System (ETS).",2021-07-01,2024-05-01
Urban Movement Innovation Fund [x],,GOAL 13. Climate Action,6. Program-Related Investments (PRIs),$3.40 million USD [x],$3.61 million USD [x],$0 USD [x],Per project,July 2021 [x],July 2024,20%,Open,,John Doe,Green Innovations Ltd.,,Strong partnerships with local governments,Dependency on regulatory changes for implementation,Expansion to additional cities and countries,Potential pushback from industries relying on traditional transportation methods,"""Project is on track to meet its initial goals, with significant progress in some cities.""",8/10,7/10,9/10,8/10,7/10,"""Effective communication and collaboration amongst partners, though some delays in regulatory approvals.""","""Consider exploring more aggressive marketing strategies to increase public awareness and acceptance.""",Emily Smith,"June 20, 2024",john.doe@urbanmovement.org,"Transport, energy and food consumption in cities account for around 80% of global emissions. The IKEA Foundation is supporting Urban Movement Innovation Fund to mobilise the public and work with city officials to create climate mitigation solutions that also improve citizens’ quality of life.",2021-07-01,2023-07-01
Institutional support [x],Continent: Europe; Country: Global Programs; City: Not specified (assuming major global cities),GOAL 13. Climate Action,4. Community Investing,"15,000,000 USD [x]","10,000,000 USD [x]","5,000,000 USD [x]",Per project,July 2021 [x],July 2024,35%,Open,European Climate Foundation (100%) [x],Sarah Johnson,Green Innovations Consulting Ltd.,Reduce carbon emissions by 30% in project areas by end date,Strong partnership with experienced climate foundation,High dependency on single funding source,Expansion to other regions with similar initiatives,Regulatory changes affecting environmental policies,"The project is progressing well with significant contributions towards climate action. However, diversification of funding sources is recommended.",8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the progress, though there are areas for improvement in strategy communication.",Consider exploring additional partnerships to strengthen the project's reach and sustainability.,Emily Turner,2024-06-25,emily.turner@climateaction.org,The IKEA Foundation is supporting the European Climate Foundation’s EU Green Deal strategy for a transition to net-zero emissions economies that puts people at the centre. This will help create a model for climate neutrality that can be replicated in other regions.,2021-07-01,2022-09-01
Advancing climate action and philanthropy in Indonesia [x],"Continent: Asia, Country: Indonesia, City: Jakarta",GOAL 13. Climate Action,Traditional Philanthropy,"$11,500,000 USD [x]","$10,300,000 USD [x]","$1,200,000 USD [x]",Scheduled,"July 1, 2021 [x]","December 31, 2024",45%,Open,ClimateWorks Foundation (100%) [x],Angela Suri,Green Innovations Inc.,"Reduce carbon emissions by 40% in target areas, increase renewable energy usage by 30%",Strong local partnerships,Regulatory changes,Expanding into new regions,Political instability,Project is progressing well with significant milestones being reached ahead of schedule.,8/10,7.5/10,9/10,8/10,7/10,"The project shows excellent results in climate action initiatives, but could improve in faster communication.","Overall, the project is well-received by the community and stakeholders.",Emily Thompson,"June 20, 2024",climateaction@climateworksfoundation.org,"ClimateWorks Foundation is creating a platform to finance climate action initiatives and nurture climate leadership in Indonesia, one of the world’s largest greenhouse gas emitters. This is essential to achieve the Paris Agreement goal to limit global warming to 1.5⁰C.",2021-07-01,2023-02-01
Developing a sustainable ecosystem for renewable energy in India [x],"Continent: Asia, Country: India, City: Not specified (Generated plausible city: Mumbai)",GOAL 7. Affordable and Clean Energy,Corporate Social Responsibility (CSR),$4.5 million USD [x],$3.2 million USD [x],$1.3 million USD [x],Per project,June 2021 [x],December 2023 (Generated plausible end date),45% (Generated plausible percentage),Open,"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) - 60%, IKEA Foundation - 40% [x]",Sunita Krishnan (Generated plausible manager's name),Sustainable Energy Consultancy Pvt Ltd (Generated plausible consultant's name/company),Increase renewable energy capacity by 40% in targeted areas by end of 2023 (Generated plausible objectives),Strong partnerships with local governments and NGOs (Generated plausible strength),Limited infrastructure in remote areas (Generated plausible weakness),Expansion into other renewable sources like solar and wind energy (Generated plausible opportunity),Regulatory changes and political instability (Generated plausible threat),"""Significant progress in the initial phases, though challenges with infrastructure persist."" (Generated plausible comments)",8/10 (Generated plausible ranking),7/10 (Generated plausible ranking),9/10 (Generated plausible ranking),7/10 (Generated plausible ranking),8/10 (Generated plausible ranking),"""Effective collaboration and communication, though some delays in project execution."" (Generated plausible comments)","""Continued monitoring and support essential for successful completion."" (Generated plausible comments)",Dr. Anil Gupta (Generated plausible author's name),June 2023 (Generated plausible date prior to 2024-06-26),sunita.krishnan@renewableenergyindia.org (Generated plausible email address),The IKEA Foundation is partnering with GIZ to help smallholder farmers and food producers in India power their livelihoods with decentralised renewable energy technologies.,2021-06-01,2024-06-01
Refugee Economies: 2021 – 2024 strategy [x],"Africa; Ethiopia, Kenya, Uganda",GOAL 8. Decent Work and Economic Growth,Corporate Social Responsibility (CSR),$1.79 million USD [x],$1.63 million USD [x],"$160,000 USD [x]",Per project,"June 1, 2021 [x]","June 1, 2024",25%,Open,University of Oxford [x],Dr. Helen Carter,Global Development Consulting Inc.,Increase employment opportunities for refugees by 30% by 2024,Strong partnership with the University of Oxford,Limited local governmental support,Expansion of project to other regions with high refugee populations,Political instability in the region,Needs more collaborative efforts with local NGOs,8/10,7/10,9/10,7/10,8/10,Effective communication but requires improvement in strategic alignment,Consider additional funding to cover unforeseen challenges,Emily Thompson,"June 15, 2023",emily.thompson@globaldevconsulting.com,The IKEA Foundation’s partnership with the Refugee Studies Centre at the University of Oxford funds research into how to help refugees build sustainable livelihoods and become self-sufficient.,2021-06-01,2022-10-01
Partnership for Biodiversity Accounting Financial [x],"Continent: Global, Country: Various, City: Various",GOAL 15. Life on Land,Corporate Social Responsibility (CSR),"$472,000 USD [x]","$472,000 USD [x]",$0 USD [x],Per project,"May 1, 2021 [x]","May 1, 2024",20%,Closed,IKEA Foundation 100% [x],Alexander Thompson,Global Environment Consulting Ltd.,Increase in protected biodiversity areas by 15% over three years,Strong backing by established global brand,Limited local implementation partners,Potential to expand to other related environmental projects,Regulatory changes in environmental policies,The project is progressing well with significant improvements in biodiversity accounting.,8/10,,,,,"Partners express high satisfaction with the Foundation's support, though some areas of strategy and process could be improved.",Consider exploring additional partnerships to increase local engagement.,Jennifer Morris,2024-06-01,info@pbafglobal.org,"The IKEA Foundation is supporting the Partnership for Biodiversity Accounting Financials (PBAF), set up by ASN Bank, to establish a global biodiversity accounting standard that measures how financial institutions impact biodiversity.",2021-05-01,2026-02-01
Reporting on non-state actors in 2021-2023 [x],,GOAL 13. Climate Action,Corporate Social Responsibility (CSR),€2.52 million [x],€1.82 million [x],"€700,000 [x]",Scheduled,May 2021 [x],May 2023,35%,Open,,Emily Roberts,Green Innovations Ltd.,Increase awareness and implementation of climate action among non-state actors by 50% by the end of 2023.,Strong partnerships with influential non-state actors.,Limited reach in certain regions.,Expansion into emerging markets with high potential for climate action.,Possible policy changes that could affect project implementation.,Project is on track but needs to focus on expanding its geographical reach.,8/10,7/10,9/10,7/10,8/10,"Partners are satisfied with the project's progress, though some concerns about organizational efficiency.",Consider additional funding to ensure the project's reach and impact.,Dr. Sarah Johnson,"June 20, 2024",emily.roberts@newclimate.org,"NewClimate Institute will build an accurate picture of climate action by regional governments, cities and non-state actors like companies, and calculate the combined impact on global emissions. The IKEA Foundation supports this work to boost countries’ efforts to meet Paris Agreement goals.",2021-05-01,2024-02-01
The Home Project [x],,GOAL 11. Sustainable Cities and Communities,Traditional Philanthropy,"$7,500,000 USD [x] (converted from €6.50M)","$7,500,000 USD [x] (converted from €6.50M)",$0 USD [x],Per project,"May 1, 2021 [x]","May 1, 2024",15%,Closed,The Home Project 100% [x],Elena Demetriou,Global Shelter Consulting,Provide shelter and safety to 5000 refugees by 2024,Strong local partnerships and community integration,Limited scalability to other regions,Potential to replicate model in other cities with high refugee influx,Political instability affecting project continuation,"Project is on track, with positive community impact and strong beneficiary feedback",4.5 out of 5,4 out of 5,5 out of 5,4 out of 5,4.3 out of 5,"High satisfaction with project outcomes and management, slight improvements suggested in communication channels",Continued monitoring and support recommended to ensure sustainability post-project,Maria Kostas,"June 1, 2023",info@thehomeproject.org,"The HOME Project provides shelter and safety for refugee and migrant children who arrive in Greece without a parent or carer to look after them, and helps these children to rebuild their lives.",2021-05-01,2025-05-01
[x] Donation: Emergency support for Covid-19 second wave response in India,"[x] Continent: Asia, Country: India, City: Not specified (assuming multiple cities across the country)",GOAL 3. Good Health and Well-being,1. Traditional Philanthropy,"[x] $2,350,000 USD (converted from 2M€ considering the current exchange rate)","[x] $2,350,000 USD",[x] $0 USD,Per project,[x] May 2021,May 2023,100%,Closed,[x] SELCO Foundation (100% contribution),Ravi Kumar,Global Health Strategies,"Improved health outcomes for affected populations, reduction in COVID-19 transmission rates",Strong local partnerships with healthcare providers,Limited reach in rural areas,Expansion of project to include more preventive measures,Potential resurgence of COVID-19 cases,"The project has significantly contributed to the local health infrastructure, more efforts needed in remote areas.",85%,88%,90%,80%,85%,Partners and stakeholders are satisfied with the transparency and effectiveness of the project execution.,Consideration for future projects to include more technological solutions for remote healthcare.,Dr. Anjali Gupta,"June 15, 2024",info@selcofoundation.org,"To respond to the COVID-19 crisis in India, access to reliable energy was crucial for powering the ventilators and other essential appliances. Selco Foundation leveraged their local networks to address the most pressing needs regarding health care and livelihoods in the areas where they work.",2021-05-01,2025-05-01
Partnership for Biodiversity Accounting Financial [x],"Continent: Global, Country: Multiple, City: Multiple",GOAL 15. Life on Land,Corporate Social Responsibility (CSR),"$473,600 USD [x] (converted from 400K€)","$473,600 USD [x] (converted from 400K€)",$0 USD [x],Per project,"May 1, 2021 [x]","April 30, 2024",100%,Closed,,Julia Thompson,Environmental Impact Solutions,Increase in documented biodiversity conservation projects by 30%,Strong partnership with global reach,Limited funding to expand beyond initial scope,Potential for scaling through additional funding and partnerships,Changes in regulatory environments affecting biodiversity projects,"Project on track with positive early results, more effort needed on community engagement",8/10,7/10,9/10,8/10,7/10,"General satisfaction with the project's progress, though improvements in communication desired",Consideration for extended funding and project scope discussed,Michael Richards,"June 25, 2024",info@biodiversityfinance.org,"The IKEA Foundation is supporting the Partnership for Biodiversity Accounting Financials (PBAF), set up by ASN Bank, to establish a global biodiversity accounting standard that measures how financial institutions impact biodiversity.",2021-05-01,2023-06-01
